,0
10,"The neuroimmune system, an extensive bidirectional communication system between neural cells and immune cells, utilizes evolutionarily conserved molecules, including cytokines, chemokines and trophic factors that participate as mediators in both directions. While the initial discovery of classic immune molecules in the brain was interpreted as neuroinflammation, a broad literature demonstrates their essential roles in cognition during homeostatic brain function. These mechanisms include neural correlates of learning and memory, such as strengthening of neuronal networks and the generation of new neurons and synaptic connections. These processes take place throughout the brain, especially in the hippocampus, a major component of the brain of humans and other vertebrates that consolidates short-term memory into long-term memory and supports spatial navigation. This Review explores recent developments and understanding of immune molecules that orchestrate and participate in molecular mechanisms of memory formation. It also considers their potential efficacy as new targets to treat memory disorders."
11,"Although language neuroscience has largely focused on 'core' left frontal and temporal brain areas and their right-hemisphere homotopes, numerous other areas-cortical and subcortical-have been implicated in linguistic processing. However, these areas' contributions to language remain unclear given that the evidence for their recruitment comes from diverse paradigms, many of which conflate language processing with perceptual, motor, or task-related cognitive processes. Using fMRI data from 772 participants (438 females, 334 males) performing an extensively validated language 'localizer' paradigm that isolates language processing from other processes, we a) delineate a comprehensive set of areas that respond reliably to language across written and auditory modalities, and b) evaluate these areas' selectivity for language relative to a demanding non-linguistic task. In line with prior claims, many areas outside the core fronto-temporal network respond during language processing, and most of them show selectivity for language relative to general task demands. These language-selective areas of the extended language network include areas around the temporal poles, in the medial frontal cortex, in the hippocampus, and in the cerebellum, among others. Although distributed across many parts of the brain, the extended language-selective network still only comprises a small fraction (<5%) of the grey matter volume, challenging the view that the entire brain processes language. These newly identified language-selective areas can now be systematically characterized to decipher their contributions to language processing, including testing whether these contributions differ from those of the core language areas.<b>Significance statement</b> Language processing consistently recruits a left-lateralized fronto-temporal brain network, but language tasks often additionally engage areas outside this core system. In an fMRI dataset of 772 participants performing a validated language localizer task, we identified 17 brain areas outside the core fronto-temporal network that respond to both auditory and written language. Most of these areas show selectivity for language, including regions in the temporal poles, medial frontal cortex, hippocampus, and cerebellum. Despite its large number of components, this extended language network still only takes up a small fraction of the grey matter volume, challenging the view that the entire brain processes language. These findings lay the foundation for systematic characterization of these newly identified non-canonical language areas."
12,"<b>Objective:</b> To investigate the role of the Janus kinase 2/signal transducer and activator of transcription 3 (JAK2/STAT3) pathway in aluminum-induced synaptic function impairment. <b>Methods:</b> In March 2024, twenty-four SPF-grade C57BL/6J mice were randomly divided into four groups using the random number table method: the control group (normal saline) and the low, medium, and high-dose aluminium exposure groups [20, 40, and 80 μmol/kg aluminum maltol]. The exposure period lasted for 3 months. After treatment, the Morris water maze test was performed to evaluate the effects of aluminum maltol on learning and memory ability of mice. The expression levels of JAK2/STAT3 pathway proteins, postsynaptic density protein 95 (PSD95), and synapsinⅠ (SYNⅠ) were detected by Western blotting. HT22 mouse hippocampal neuronal cells were used for in vitro experiments, which were divided into the aluminum exposure group [control group (blank group), low, medium, and high-dose groups (60, 120, and 240 μmol/L aluminum maltol) ] and the intervention group[control group (blank group), Colivelin (JAK2/STAT3 pathway activator) group, aluminum maltol group (120 μmol/L), and Colivelin+aluminum maltol group]. Cell viability was tested using CCK-8, morphological changes were observed under an inverted microscope, and the expression levels of JAK2 and STAT3 genes were detected by quantitative reverse transcription-polymerase chain reaction (qRT-PCR). The expression levels of JAK2/STAT3 pathway proteins, PSD95, and SYN Ⅰ were detected by Western blotting, and the fluorescence intensity of PSD95 and SYN Ⅰ proteins was detected by immunofluorescence staining. One-way analysis of variance was used for inter-group difference analysis, and LSD-<i>t</i> test was used for pairwise comparison if the variances were homogeneous, otherwise, Dunnett's T3 test was adopted. <b>Results:</b> The Morris water maze test showed that on the 4th and 5th days of the place navigation trial, the escape latency of mice in the medium and high-dose groups were significantly prolonged compared with the control group (<i>P</i><0.05). In the spatial probe trial, the number of platform crossings and the time spent in the target quadrant were significantly reduced in the medium and high-dose groups compared with the control group (<i>P</i><0.05). Western blotting analysis showed that the protein expression levels of JAK2, phosphorylated JAK2, STAT3, phosphorylated STAT3, PSD95, and SYN Ⅰ in the hippocampus were significantly decreased in the medium and high-dose groups compared with the control group (<i>P</i><0.05). Compared with the control group, the cell viability of HT22 cells in the medium and high-dose groups were decreased (<i>P</i><0.05) ; compared with the control group and the low-dose group, the number and length of the synaptic connections in the medium and high-dose groups were reduced (<i>P</i><0.05) ; compared with the control group and the low-dose group, the mRNA expression levels of JAK2 and STAT3 and the protein expression levels of JAK2, phosphorylated JAK2, and SYNⅠ in the medium and high-dose groups were all decreased (<i>P</i><0.05) ; the differences in the protein expression levels of STAT3, phosphorylated STAT3, and PSD95 in each dose group were statistically significant (<i>P</i><0.05) ; compared with the control group, the fluorescence intensities of PSD95 and SYN Ⅰ proteins in the medium and high-dose groups were decreased (<i>P</i><0.05). In addition, compared with the aluminum maltol group, the number of synaptic connections between HT22 cells in the Colivelin+aluminum maltol group increased and the length of the connections became longer (<i>P</i><0.05) ; compared with the aluminum maltol group, the expression of JAK2 mRNA in the Colivelin+aluminum maltol group was increased (<i>P</i><0.05), and the expressions of JAK2, phosphorylated JAK2, phosphorylated STAT3, PSD95 and SYNⅠ proteins were all increased (<i>P</i><0.05), and the fluorescence intensities of PSD95 and SYN Ⅰ proteins were also increased (<i>P</i><0.05) . <b>Conclusion:</b> Aluminium maltol can lead to synaptic function impairment, and the JAK2/STAT3 signaling pathway may be involved in the related regulation."
13,"Musical stimulation can activate specific brain regions and modulate neural functions, whereas optical and magnetic stimulation technologies enable precise neuronal manipulation. However, traditional neural stimulation approaches mostly adopt a single mode, and research on their combined regulatory effects is still limited. Light-magnetic combined stimulation (LMCS), as an emerging multi-modal physical neural modulation technique, has demonstrated unique advantages in regulating neural activity and synaptic plasticity and holds significant potential for application in the fields of cognitive enhancement and neural rehabilitation. This study innovatively combines two physical stimulation modalities-light and magnetic fields-using musical signals as the modulation source to explore their synergistic effects on synaptic plasticity in the hippocampal Schaffer collateral-CA1 region of rats. We designed a high spatial resolution light-magnetic stimulation system; utilizing this system, in vitro brain slice experiments were conducted, applying single-light, single-magnetic, and combined light-magnetic stimulation respectively. Changes in long-term potentiation (LTP) and long-term depression (LTD) were recorded. The experimental results showed that the combined light-magnetic stimulation, when synchronized with specific musical rhythms, exhibited the optimal regulatory effects on both LTP and LTD, outperforming single stimulation modes. This study verified the effectiveness of light-magnetic combined stimulation based on music rhythm in regulating LTP/LTD and provided design parameters and experimental basis for the development of the equipment."
14,"Calcium dysregulation is increasingly recognized as a convergent mechanism underlying neuronal vulnerability and glial overactivation in Alzheimer's disease (AD). Transient Receptor Potential Canonical (TRPC) channels are potential key modulators of Ca<sup>2+</sup> signaling in multiple cell types in central nervous system (CNS), mediating different pathophysiological roles. However, their cell type-specific remodeling and cellular origins of these changes in human AD tissue remain poorly defined. This study investigated their expression patterns with main focus on the two closely related members of TRPC3 and TRPC6 across human AD brains and two relevant mouse models. Formalin-fixed paraffin-embedded cortical and hippocampal tissues from AD patients and age-matched controls were examined using immunohistochemistry. Spatial relationships between TRPC3/TRPC6 and glial fibrillary acidic protein (GFAP)-positive astrocytes were assessed in adjacent serial sections. TRPC3 expression was markedly increased in AD cortex and hippocampus whereas TRPC6 was significantly reduced primarily in pyramidal neurons. TRPC3-positive regions showed close spatial correspondence with reactive astrocytes, particularly in the hippocampal and subcortical white matter regions, suggesting a partial astrocytic origin. TRPC6 exhibited negligible overlap with GFAP. These observations were reproduced in brain sections of both 5xFAD and PS19 transgenic (Tg) mice compared to their littermate controls. Our findings reveal a conserved pattern of divergent TRPC remodeling across human and mouse models with AD pathology. In addition, TRPC1 expression was significantly reduced in AD samples while TRPC4 and TRPC5 had no significant change in expression. Taken together, selected TRPC family members may undergo differential remodeling during AD pathogenesis, with TRPC3 and TRPC6 showing the most prominent and consistent alterations."
15,"Borderline personality disorder (BPD) is a chronic mental health condition associated with marked elevations in disability. Limited pharmacological treatment options are currently available, and kappa opioid receptors (KOR) have been identified as a promising treatment target. However, the KOR system has not yet been directly examined in BPD. This study examined KOR in individuals with BPD and investigated links between KOR and BPD's clinical features. Twenty individuals with BPD and 20 demographically matched healthy control (HC) volunteer participants were scanned with [<sup>11</sup>C]EKAP positron emission tomography (PET) and completed self-report and interview measures. KOR availability (volume of distribution; V<sub>T</sub>) was measured in brain regions of interest (ROIs) relevant to the pathophysiology of BPD. No differences in age or sex were observed between HCs (Mean age: 32.94; SD=8.45; 60% female), and individuals with BPD (Mean age: 33.30; SD=9.34; 60% female). In individuals with BPD, KOR V<sub>T</sub> was significantly lower in the amygdala (M<sub>diff</sub>=-8.04; 95% CI[11.40; -4.69]), anterior cingulate (M<sub>diff</sub>=-2.95; 95% CI [-5.22; -0.68]), hippocampus (M<sub>diff</sub>=-2.12; 95% CI [-3.37; -0.88]), insula (M<sub>diff</sub>=-3.58; .95% CI[-5.71; -1.46]), and frontal ROIs (M<sub>diff</sub>=-1.83; 95% CI[-3.28; -0.38]). V<sub>T</sub> correlated negatively with specific clinical features including impulsivity (r(28)=-.45 p=.013, 95% CI[-.72; -.11]) and depressive symptoms (r(28)=-.43, p=.021, 95% CI[-.70, -.07]), but not trauma symptoms. Findings demonstrate differences in KOR availability in BPD and relationships between KOR availability and clinically relevant features. Results highlight the relevance of KOR in BPD pathophysiology and further implicate the opioid system as a promising target for treatment development in BPD."
16,"Diabetic encephalopathy (DE) is a prevalent and severe neurological complication associated with the advanced stages of type 2 diabetes mellitus (T2DM). Its pathogenesis is multifactorial and not yet fully understood, and currently, there are no effective therapeutic interventions available. 6-Gingerol, a natural phenolic compound derived from ginger, exhibits favorable brain-targeting properties and diverse pharmacological activities, making it a promising candidate for the treatment of DE. In this study, the multi-target mechanism of 6-gingerol in DE was systematically investigated by integrating network pharmacological analysis with in vivo experimental validation. Network pharmacology results identified PPARG (namely PPARγ), mTOR, and ESR1 as key core targets of 6-gingerol, which were primarily enriched in pathways related to inflammatory regulation, amyloid-β metabolism, and neuroprotection. Animal experiments demonstrated that four weeks of 6-gingerol treatment significantly reduced fasting blood glucose (FBG), total cholesterol (TC), triglycerides (TG) and body weight, while improving cognitive function in 13-week-old db/db mice. Additionally, 6-gingerol markedly attenuated neuroinflammatory responses and decreased soluble amyloid-β levels in the hippocampus. Notably, partial beneficial effects of 6-gingerol were significantly attenuated by GW9662 (a selective PPARγ antagonist), while pioglitazone (a well-known PPARγ agonist) replicated the neuroprotective effects of 6-gingerol in multiple pathological endpoints. Collectively, these findings imply that 6 - gingerol may exert its protective effect against DE via a multi-target synergistic mechanism in which PPARγ plays a key regulatory role."
17,"Sleep deprivation (SD) is now a widespread issue affecting people globally. It adversely impacts individuals of all ages, contributing to cognitive deficits and increased anxiety. Urolithin A (UA) has been found to address numerous health concerns, including the preservation of brain function. Nonetheless, the exact mechanisms by which UA counters cognitive deficits and anxiety resulting from SD are not well understood. To investigate the specific molecular mechanisms involving the Nrf2-ferroptosis axis through which UA ameliorates cognitive impairments and anxiety-like behaviors resulting from prolonged SD. A murine model of chronic SD was generated by implementing sleep restriction for a duration of 14 consecutive days (n=15 per group). Behavioral experiments were used to assess the success of the SD model and the therapeutic impact of UA. We explored the mechanisms using spatial metabolites and biological functional module network analysis. Furthermore, erastin was utilized to induce ferroptosis in HT-22 cells, creating a model to assess the ferroptosis inhibition effects of UA. UA treatment (100 mg/kg, i.g.) significantly mitigated behavioral abnormalities caused by chronic SD. UA prevented both histopathological alterations and structural injury to hippocampal neurons (P < 0.05, P < 0.01). Further analyses revealed that UA not only attenuated excessive neuroinflammation but also increased dendritic spine density and the protein levels of neurotrophic factors in the hippocampus of chronic SD mice. Mechanistically, spatial metabolomics and target prediction analyses further revealed that the effects of UA were closely associated with the Nrf2 signaling pathway and ferroptosis suppression. UA treatment significantly decreased total iron and Fe<sup>2+</sup> levels (P < 0.05, P < 0.01), increased Nrf2, SLC7A11, GPX4, and HMOX1 protein levels (P < 0.01), and decreased ACSL4 expression (P < 0.01) in the hippocampus. In vitro, UA protected HT-22 cells against erastin-induced ferroptosis in a dose-dependent manner (2.5, 5, 10 µM), an effect abolished by the Nrf2 inhibitor ML385. Overall, supplementation with UA proved beneficial in counteracting chronic SD-induced cognitive deterioration and anxiety-like behaviors by attenuating hippocampal ferroptosis through the Nrf2 pathway. These results suggested that UA represents a potential candidate for future translational studies addressing cognitive impairments and anxiety related to insufficient sleep."
18,"Alzheimer's disease (AD) involves the progressive fragmentation of neural connectivity. This study aims to investigate the morphological degeneration of neuropil fibers in AD and evaluate their utility as a marker for pathological severity. Post-mortem brain tissues from 92 cases across eight distinct regions were analyzed. We used Bielschowsky silver staining with automated quantitative morphometry to measure neuritic fiber length and curvature in the neuropil, and immunofluorescence to detect neurite cytoskeletal markers. Finally, a novel histological staging system for neuropil disruption was established to assess disease progression. Morphometric analysis revealed progressive reductions in neuritic fiber length and increased curvature tracking with disease severity, a significant negative correlation confirmed these are coupled degenerative manifestations. Immunofluorescence demonstrated extensive cytoskeletal fragmentation that corresponded to the pattern observed with silver staining. Based on morphometric analysis, a novel four-tier staging system was established, defined neuropil by homogeneous compactness (-), initial (+), extensive (++) disruption, and complete fragmentation (+++), which correlated preferentially with Phospho-Tau load. Crucially, subtle neuropil alterations were detectable in the entorhinal cortex, amygdala, and anterior hippocampus even in Braak 0 stage, suggesting a potential association between these early changes and the initial stages of tau pathogenesis. This study establishes a staging system for assessing neuropil degeneration, demonstrating that neuropil fragmentation and geometric distortion are candidate AD pathological markers. By systematically analyzing neuritic fiber morphology and proposing a neuropil disruption stage, this work provides critical insights into early AD pathogenesis, offering a foundation for future diagnostic strategies pending validation in independent cohorts with clinical correlations."
19,"Prevailing views of reward encoding focus on excitatory neurons with GABAergic interneurons relegated to a supporting role, overlooking their potential to independently encode information. Here we simultaneously examine reward encoding in GABAergic interneurons in medial prefrontal cortex (mPFC) and ventral hippocampus (vHip) in male mice, regions in which glutamatergic neurons integrate outcomes to modulate task engagement. We find a common state-sensitive encoding motif in GABAergic neurons whereby relative suppression of neural activity maps onto outcome history. Decomposing behavior into bouts of exploration and exploitation, we find that exploration gates encoding of outcome history in both mPFC and vHip GABAergic neurons. Globally, interneuron activity in both regions predicted engagement independent of state, but choice prediction was state-dependent and distributed between mPFC and vHip. Overall, these findings indicate that GABAergic neurons also participate in outcome encoding, with behavioral state shaping their role in reward-processing circuits guiding reward-motivated behavior."
